"","nama","harga","seller","terjual","link","waktu.scrape"
"1229","Minyak Zaitun 60/Olive Oil Free Cholesterol/Bebas Kolesterol","Rp9.000","herbalasli","Terjual 572 Produk","https://www.tokopedia.com/herbalasli-shop/minyak-zaitun-60olive-oil-free-cholesterolbebas-kolesterol-1?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D18_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1230","D'VIRGIN Minyak Zaitun Extra Virgin Olive Oil 350 ml","Rp54.000","Propolis Grosiran","Terjual 40 Produk","https://www.tokopedia.com/propolistermurah/d-virgin-minyak-zaitun-extra-virgin-olive-oil-350-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D19_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1231","Extra Virgin Olive Oil Mueloliva 250ml - Pack Standard","Rp43.500","GUDANG-MAKANAN","Terjual 104 Produk","https://www.tokopedia.com/gudang-makanan/extra-virgin-olive-oil-mueloliva-250ml-pack-standard?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D20_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1232","MINYAK ZAITUN - EXTRA VIRGIN OLIVE OIL ""RS"" 250 ml","Rp43.500","Distributor Herbal Jkt","Terjual 325 Produk","https://www.tokopedia.com/suplierherbal/minyak-zaitun-extra-virgin-olive-oil-rs-250-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D21_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1233","Selva Minyak Zaitun/Virgin Olive Oil (mengatasi kolesterol)","Rp45.000","Toko Fawwaz","Terjual 53 Produk","https://www.tokopedia.com/tokofawwaz/selva-minyak-zaitunvirgin-olive-oil-mengatasi-kolesterol?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D22_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1234","Minyak Zaitun RS Extra Virgin 40ML/Minyak Zaitun Olive Oil","Rp21.500","Oleh Oleh Haji","Terjual 29 Produk","https://www.tokopedia.com/oleh-oleh-haji/minyak-zaitun-rs-extra-virgin-40ml-minyak-zaitun-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D24_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1235","BERTOLLI EXTRA LIGHT OLIVE OIL 250ML (MINYAK ZAITUN EKSTRA LIGHT)","Rp45.000","PD LARIS","Terjual 82 Produk","https://www.tokopedia.com/pdlaris/bertolli-extra-light-olive-oil-250ml-minyak-zaitun-ekstra-light?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D25_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1236","Bertolli Extra Light Olive Oil 250 ML Minyak Goreng Sehat Best Seller","Rp44.000","Food Republic","Terjual 132 Produk","https://www.tokopedia.com/foodrepublic/bertolli-extra-light-olive-oil-250-ml-minyak-goreng-sehat-best-seller?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D26_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1237","Luglio Pomace Olive Oil / Minyak Zaitun Pomace 5 LTR Halal Import","Rp325.000","Food Republic","Terjual 137 Produk","https://www.tokopedia.com/foodrepublic/luglio-pomace-olive-oil-minyak-zaitun-pomace-5-ltr-halal-import?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D27_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1238","White Truffle Olive Oil 250 ml - by Sabatino Tartufi","Rp267.750","The Truffle Shop","Terjual 137 Produk","https://www.tokopedia.com/thetruffleshop/white-truffle-olive-oil-250-ml-by-sabatino-tartufi?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D29_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1239","Borges extra light Virgin Olive Oil 5L minyak sehat botol plastik","Rp725.000","Accesshandmade","Terjual 34 Produk","https://www.tokopedia.com/accesshandmade/borges-extra-light-virgin-olive-oil-5l-minyak-sehat-botol-plastik?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D30_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1240","EVOO Baby Olive Oil Casa Di Oliva Olivia For Kids Bayi Minyak Zaitun","Rp60.000","PapaIndoFam","Terjual 53 Produk","https://www.tokopedia.com/papaindofam/evoo-baby-olive-oil-casa-di-oliva-olivia-for-kids-bayi-minyak-zaitun?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D32_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1241","BERTOLLI CLASSICO OLIVE OIL 250ML","Rp44.500","MOMOGO ID","Terjual 32 Produk","https://www.tokopedia.com/momogoid/bertolli-classico-olive-oil-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D33_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1242","Casa di oliva olive oil for kids","Rp70.000","fiore9shop","Terjual 25 Produk","https://www.tokopedia.com/fiore9shop/casa-di-oliva-olive-oil-for-kids?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D34_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1243","SESA - Pure Olive Oil - 1 L","Rp120.000","House Of Organix","Terjual 76 Produk","https://www.tokopedia.com/houseoforganix/sesa-pure-olive-oil-1-l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D35_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1244","Star Village Pomace Olive Oil 5 L","Rp310.000","Herbal Gayatri","Terjual 57 Produk","https://www.tokopedia.com/herbal-gayatri/star-village-pomace-olive-oil-5-l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D36_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1245","EVOO Baby Olive Oil Casa Di Oliva Olivia + Virgin Minyak Zaitun Bayi","Rp73.500","Abdurrahman Store","Terjual 26 Produk","https://www.tokopedia.com/abdrahmanstore/evoo-baby-olive-oil-casa-di-oliva-olivia-virgin-minyak-zaitun-bayi?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D38_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1246","Borges Extra Light Olive Oil Minyak Zaitun 250 ml","Rp48.000","HouseHerbal","Terjual 35 Produk","https://www.tokopedia.com/househerbal/borges-extra-light-olive-oil-minyak-zaitun-250-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D39_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1247","Borges Extra Light Olive Oil - 1000 ml","Rp195.000","Nourish Indonesia","Terjual 59 Produk","https://www.tokopedia.com/nourishindonesia/borges-extra-light-olive-oil-1000-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D40_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1248","Minyak Bertolli Extra Light Olive Oil 1 Liter","Rp170.000","SerbaSherbi","Terjual 55 Produk","https://www.tokopedia.com/tk-serbasherbi/minyak-bertolli-extra-light-olive-oil-1-liter?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D41_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1249","BORGES Pure Olive Oil Minyak Zaitun [250 mL]","Rp49.725","FingerLand","Terjual 33 Produk","https://www.tokopedia.com/finger-land/borges-pure-olive-oil-minyak-zaitun-250-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D43_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1250","Minyak Zaitun Extra Virgin Olive Oil Al Ghuroba 60 ml","Rp16.000","GROSIR KOYO BEKASI","Terjual 117 Produk","https://www.tokopedia.com/grosir-herbal/minyak-zaitun-extra-virgin-olive-oil-al-ghuroba-60-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D45_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1251","Borges Extra Light Olive Oil - 250 ml","Rp61.000","Genki Plant","Terjual 43 Produk","https://www.tokopedia.com/genkiplant/borges-extra-light-olive-oil-250-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D47_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1252","Minyak Zaitun Murni Sudah BPOM | Zaitun Extra Virgin Olive Oil","Rp16.500","Bakul Original","Terjual 40 Produk","https://www.tokopedia.com/bakuloriginal/minyak-zaitun-murni-sudah-bpom-zaitun-extra-virgin-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D49_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1253","Minyak Zaitun LE RICHE olive oil Leriche 300 ml","Rp30.850","BOUTIQ MASTURA","Terjual 89 Produk","https://www.tokopedia.com/boutiqmastura/minyak-zaitun-le-riche-olive-oil-leriche-300-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D50_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1254","ACROPOLIS EXTRA VIRGIN OLIVE OIL 500mL","Rp99.500","RupaRupaID","Terjual 56 Produk","https://www.tokopedia.com/ruparupaid/acropolis-extra-virgin-olive-oil-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D51_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1255","Nigela Olive Oil","Rp130.000","wendra store","Terjual 14 Produk","https://www.tokopedia.com/wendra-store/nigela-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D52_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1256","POMACE OLIVE OIL 1L","Rp100.000","namaste organic","Terjual 45 Produk","https://www.tokopedia.com/namasteorganic/pomace-olive-oil-1l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D53_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1257","Borges 💯 Minyak Zaitun Extra Virgin Olive Oil 500ml- Dari Spanyol - TANPA PENGAMAN","Rp77.500","Attayeb","Terjual 34 Produk","https://www.tokopedia.com/attayeb/borges-minyak-zaitun-extra-virgin-olive-oil-500ml-dari-spanyol-tanpa-pengaman?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D54_catid%3D726_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1258","Minyak Zaitun Le Riche Olive Oil 300 ml","Rp37.500","Abdurrahman Collection","Terjual 67 Produk","https://www.tokopedia.com/abdurrahmancoll/minyak-zaitun-le-riche-olive-oil-300-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D56_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1259","Minyak Zaitun Selva/Ekstrak Virgin Olive Oil (mengatasi kolesterol)","Rp38.000","Distributor Herbal Jkt","Terjual 68 Produk","https://www.tokopedia.com/suplierherbal/minyak-zaitun-selvaekstrak-virgin-olive-oil-mengatasi-kolesterol?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D57_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1260","Minyak Zaitun Zait Mubarok Olive Oil 60ml","Rp12.000","Salwa Collection","Terjual 83 Produk","https://www.tokopedia.com/salwacollection/minyak-zaitun-zait-mubarok-olive-oil-60ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D58_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1261","Minyak Zaitun BORGES Extra Virgin Olive Oil 125 ml","Rp27.000","Toko Pribumi","Terjual 76 Produk","https://www.tokopedia.com/tokopribumi/minyak-zaitun-borges-extra-virgin-olive-oil-125-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D59_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1262","MINYAK ZAITUN Borges Extra Light Olive Oil UNTUK MASAK GORENG 500 ml","Rp89.999","TokoSurabaya","Terjual 98 Produk","https://www.tokopedia.com/tokosurabayaa/minyak-zaitun-borges-extra-light-olive-oil-untuk-masak-goreng-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D7_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D60_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1263","Filippo Berio Extra Light Olive Oil 250ml","Rp55.000","Tomato Babyshop","Terjual 60 Produk","https://www.tokopedia.com/tomatobabyshop/filippo-berio-extra-light-olive-oil-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D1_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1264","extra light olive oil ELOO Filippo Berio","Rp55.000","Yubyre","Terjual 41 Produk","https://www.tokopedia.com/yourbeautystore/extra-light-olive-oil-eloo-filippo-berio?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D2_catid%3D469_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1265","Minyak Zaitun Import Turki Extra Virgin Olive Oil (EVOO) Balsari 250ml","Rp80.000","Febryan Paudi","Terjual 35 Produk","https://www.tokopedia.com/febryanpaudi/minyak-zaitun-import-turki-extra-virgin-olive-oil-evoo-balsari-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D3_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1266","Bertolli Classico Olive Oil Minyak Zaitun 1 liter","Rp175.000","HouseHerbal","Terjual 49 Produk","https://www.tokopedia.com/househerbal/bertolli-classico-olive-oil-minyak-zaitun-1-liter-06b4?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D4_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1267","BORGES Extra Light Olive Oil Minyak Zaitun [1 L]","Rp180.900","FingerLand","Terjual 52 Produk","https://www.tokopedia.com/finger-land/borges-extra-light-olive-oil-minyak-zaitun-1-l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D5_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1268","CASA DI OLIVIA Minyak zaitun OMEGA 3&6 EXTRA VIRGIN OLIVE OIL for kids","Rp54.020","Red-Rose","Terjual 28 Produk","https://www.tokopedia.com/liz-rose/casa-di-olivia-minyak-zaitun-omega-3-6-extra-virgin-olive-oil-for-kids?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D6_catid%3D726_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1269","Minyak Zaitun Olive Oil Extra Virgin 60ml.Zaitun Murni","Rp9.500","grosirherbalku","Terjual 448 Produk","https://www.tokopedia.com/grosirherbaljkt/minyak-zaitun-olive-oil-extra-virgin-60mlzaitun-murni?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D9_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1270","Bertolli Classico Olive Oil 250ml / Minyak Zaitun","Rp47.000","W-jaya Store","Terjual 54 Produk","https://www.tokopedia.com/w-jayastore/bertolli-classico-olive-oil-250ml-minyak-zaitun?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D10_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1271","Filippo Berio Pure Olive Oil 1Liter/Minyak Zaitun Murni Filipo Berio","Rp185.000","Sukses Organic Shop","Terjual 78 Produk","https://www.tokopedia.com/suksesorganik/filippo-berio-pure-olive-oil-1liter-minyak-zaitun-murni-filipo-berio?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D13_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1272","Extra Virgin Olive Oil Spray (EVOO) Minyak Zaitun | Filippo Berio","Rp67.500","Sukses Organic Shop","Terjual 151 Produk","https://www.tokopedia.com/suksesorganik/extra-virgin-olive-oil-spray-evoo-minyak-zaitun-filippo-berio?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D14_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1273","Borges Sybaris Extra Virgin Olive Oil 500ml exclusive packaging","Rp158.000","HouseHerbal","Terjual 52 Produk","https://www.tokopedia.com/househerbal/borges-sybaris-extra-virgin-olive-oil-500ml-exclusive-packaging?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D15_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1274","Minyak Bertolli Extra Virgin olive oil / EVOO /250ml","Rp50.000","secondition","Terjual 37 Produk","https://www.tokopedia.com/secondition/minyak-bertolli-extra-virgin-olive-oil-evoo-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D16_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1275","Extra Virgin Olive Oil / Minyak Zaitun Asli 100% (100ml)","Rp16.500","Gudang Kimia Jogja","Terjual 72 Produk","https://www.tokopedia.com/gudangkimia/extra-virgin-olive-oil-minyak-zaitun-asli-100-100ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D17_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1276","ZAITUN RS Extra Virgin Olive Oil 500 ml","Rp95.000","diva shop475","Terjual 13 Produk","https://www.tokopedia.com/divashop475/zaitun-rs-extra-virgin-olive-oil-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D18_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1277","Minyak Zaitun Al afiat 500ml BPOM | Zaitun Extra Virgin Olive Oil","Rp78.500","Lapak Barokah","Terjual 24 Produk","https://www.tokopedia.com/lapakbarokah/minyak-zaitun-al-afiat-500ml-bpom-zaitun-extra-virgin-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D19_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1278","ELOO Extra Light Olive Oil Filippo Berio","Rp58.000","Narita Hijab Gallery","Terjual 24 Produk","https://www.tokopedia.com/naritahijab/eloo-extra-light-olive-oil-filippo-berio?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D20_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1279","Filippo Berio Extra Virgin Olive Oil 200 ml SPRAY","Rp71.000","SAGALA BUMBU","Terjual 90 Produk","https://www.tokopedia.com/sagalabumbu/filippo-berio-extra-virgin-olive-oil-200-ml-spray?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D21_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1280","Pomace Olive Oil / Minyak Zaitun Pomace 1 L","Rp125.000","Subur Kimia Jaya","Terjual 92 Produk","https://www.tokopedia.com/suburkimiajaya/pomace-olive-oil-minyak-zaitun-pomace-1-l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D22_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1281","MUELOLIVA - Pomace Olive Oil 5 LITER","Rp265.000","fitjoy","Terjual 175 Produk","https://www.tokopedia.com/fitjoy/mueloliva-pomace-olive-oil-5-liter?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D24_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1282","ECOZEST Olive Oil 1 Litre","Rp189.000","Ecozest","Terjual 26 Produk","https://www.tokopedia.com/ecozest/ecozest-olive-oil-1-litre?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D26_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1283","Bertolli Extra Virgin Olive Oil / Minyak Zaitun 250 ML Best Seller","Rp52.500","KhAS Jaya Nusantara","Terjual 22 Produk","https://www.tokopedia.com/khasjnusantara/bertolli-extra-virgin-olive-oil-minyak-zaitun-250-ml-best-seller?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D27_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1284","filippo Berio Olive Oil/ Italian Olive Oil / Minyak zaitun 250ml","Rp52.000","OhayoMart","Terjual 30 Produk","https://www.tokopedia.com/ohayo-mart/filippo-berio-olive-oil-italian-olive-oil-minyak-zaitun-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D28_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1285","BORGES [1000ml / 1 liter] Extra Virgin Olive Oil Minyak Zaitun","Rp185.700","greenara.id","Terjual 46 Produk","https://www.tokopedia.com/greenaraid/borges-1000ml-1-liter-extra-virgin-olive-oil-minyak-zaitun?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D29_catid%3D1160_bmexp%3D11&whid=0",2020-09-07 10:54:18
"1286","Minyak Zaitun Al Arobi/AlArobi/Al-Arobi/Extra Virgin Olive Oil/325 ml","Rp58.000","Fatimah Herbal","Terjual 21 Produk","https://www.tokopedia.com/fatimahherbal/minyak-zaitun-al-arobi-alarobi-al-arobi-extra-virgin-olive-oil-325-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D31_catid%3D2289_bmexp%3D11&whid=0",2020-09-07 10:54:18
